iter	Passed	Remaining
0	2	198
1	4	212
2	6	204
3	7	191
4	9	184
5	11	180
6	13	182
7	15	183
8	17	178
9	19	174
10	21	170
11	22	167
12	25	167
13	26	165
14	28	161
15	29	157
16	31	153
17	33	150
18	35	151
19	38	155
20	40	152
21	42	151
22	44	150
23	46	148
24	49	147
25	51	145
26	53	143
27	54	141
28	56	139
29	59	137
30	61	136
31	63	133
32	65	132
33	66	129
34	69	128
35	71	126
36	73	124
37	74	122
38	76	119
39	78	117
40	79	114
41	80	110
42	81	108
43	84	107
44	85	104
45	86	101
46	88	99
47	89	97
48	90	94
49	91	91
50	93	89
51	94	86
52	95	84
53	96	82
54	97	79
55	98	77
56	99	75
57	100	72
58	101	70
59	102	68
60	103	66
61	104	64
62	105	62
63	106	59
64	107	58
65	108	56
66	109	54
67	110	52
68	111	50
69	112	48
70	113	46
71	114	44
72	114	42
73	115	40
74	116	38
75	116	36
76	117	35
77	118	33
78	118	31
79	119	29
80	120	28
81	121	26
82	122	25
83	123	23
84	125	22
85	126	20
86	126	18
87	127	17
88	128	15
89	129	14
90	130	12
91	130	11
92	131	9
93	132	8
94	133	7
95	134	5
96	134	4
97	135	2
98	136	1
99	137	0
