iter	Passed	Remaining
0	387	386652
1	388	193614
2	388	129202
3	389	97109
4	391	77896
5	392	64981
6	393	55766
7	393	48839
8	394	43462
9	395	39162
10	396	35632
11	397	32690
12	397	30200
13	398	28065
14	399	26212
15	399	24589
16	400	23158
17	401	21884
18	401	20744
19	402	19726
20	403	18816
21	404	17984
22	405	17220
23	406	16512
24	406	15859
25	407	15258
26	407	14701
27	408	14185
28	409	13704
29	409	13255
30	410	12836
31	411	12442
32	411	12072
33	412	11724
34	413	11395
35	414	11088
36	414	10794
37	415	10519
38	416	10261
39	417	10030
40	419	9806
41	420	9582
42	420	9365
43	421	9159
44	422	8961
45	422	8771
46	423	8593
47	424	8423
48	425	8259
49	426	8101
50	427	7949
51	427	7801
52	428	7659
53	429	7521
54	430	7388
55	431	7275
56	432	7155
57	433	7035
58	433	6920
59	434	6809
60	435	6701
61	436	6596
62	436	6494
63	437	6396
64	438	6301
65	439	6212
66	439	6123
67	440	6035
68	441	5950
69	441	5868
70	442	5789
71	443	5713
72	444	5639
73	444	5565
74	446	5502
75	447	5441
76	448	5374
77	449	5307
78	449	5245
79	450	5183
80	451	5121
81	452	5061
82	452	4999
83	453	4942
84	453	4886
85	454	4831
86	455	4777
87	456	4725
88	456	4674
89	457	4624
90	458	4575
91	458	4527
92	459	4482
93	460	4442
94	461	4398
95	462	4354
96	463	4310
97	463	4267
98	464	4225
99	465	4186
100	465	4146
101	466	4107
102	467	4069
103	467	4031
104	468	3995
105	469	3960
106	470	3924
107	470	3888
108	471	3854
109	472	3820
110	472	3786
111	473	3754
112	474	3724
113	475	3698
114	477	3671
115	477	3641
116	478	3610
117	479	3580
118	479	3551
119	480	3522
120	481	3495
121	481	3467
122	482	3439
123	483	3413
124	483	3386
125	484	3360
126	484	3333
127	485	3308
128	486	3283
129	486	3258
130	487	3234
131	488	3211
132	489	3191
133	490	3170
134	491	3147
135	491	3124
136	492	3102
137	493	3080
138	493	3058
139	494	3037
140	495	3016
141	495	2995
142	496	2974
143	497	2954
144	497	2934
145	498	2915
146	499	2895
147	499	2876
148	500	2858
149	501	2839
150	501	2821
151	502	2803
152	503	2785
153	504	2769
154	505	2753
155	505	2736
156	506	2718
157	506	2701
158	507	2685
159	508	2668
160	508	2651
161	509	2636
162	510	2620
163	511	2605
164	511	2590
165	512	2575
166	513	2560
167	513	2545
168	514	2530
169	515	2516
170	516	2502
171	516	2487
172	517	2473
173	518	2462
174	519	2450
175	520	2437
176	521	2423
177	521	2410
178	522	2396
179	523	2383
180	523	2370
181	524	2357
182	525	2344
183	525	2332
184	526	2320
185	527	2308
186	528	2296
187	528	2284
188	529	2272
